id,event,pick,timestamp,name,points,alternate,season,point_multiplier,fedex
1,"",,"2020-09-21 01:56:03.203590","",1.0,,2020,1,-1.0e-09
2,"U.S. Open","Louis Oosthuizen","2020-09-21 02:12:11.856176",smk,861457.0,,2020,1,-1.0e-09
3,"Corales Puntacana Resort & Club Championship","Bill Haas","2020-09-23 02:06:21.845548",smk,0.0,,2020,1,-1.0e-09
4,"Corales Puntacana Resort & Club Championship","Matthias Schwab","2020-09-24 13:37:04.151062",DK,9160.0,,2020,1,-1.0e-09
5,"Sanderson Farms Championship","Scottie Scheffler","2020-09-30 12:44:23.601924",smk,28710.0,,2020,1,-1.0e-09
6,"Sanderson Farms Championship","Sungjae Im","2020-09-30 19:30:37.371294",DK,46200.0,,2020,1,-1.0e-09
7,"Shriners Hospitals for Children Open","Bryson DeChambeau","2020-10-07 20:46:50.296378",smk,190750.0,,2020,1,-1.0e-09
8,"Shriners Hospitals for Children Open","Rickie Fowler","2020-10-08 16:07:45.246406",DK,0.0,,2020,1,-1.0e-09
10,"Shriners Hospitals for Children Open","Jason Day","2020-10-08 16:59:28.632758",lucas,0.0,,2020,1,-1.0e-09
11,"THE CJ CUP @ SHADOW CREEK","Brooks Koepka","2020-10-14 18:05:24.743023",smk,57135.0,,2020,1,-1.0e-09
12,"THE CJ CUP @ SHADOW CREEK","Rory McIlroy","2020-10-15 04:26:26.641220",DK,91956.0,,2020,1,-1.0e-09
13,"THE CJ CUP @ SHADOW CREEK","Patrick Cantlay","2020-10-15 04:32:01.407844",lucas,40560.0,,2020,1,-1.0e-09
14,"The ZOZO CHAMPIONSHIP","Justin Thomas","2020-10-20 23:55:35.945511",smk,704000.0,"Daniel Berger",2020,1,-1.0e-09
15,"The ZOZO CHAMPIONSHIP","Collin Morikawa","2020-10-22 02:25:20.072684",lucas,17560.0,"Bubba Watson",2020,1,-1.0e-09
16,"The ZOZO CHAMPIONSHIP","Jon Rahm","2020-10-22 15:25:56.844665",DK,704000.0,"Harry Higgs",2020,1,-1.0e-09
17,"Bermuda Championship","Arjun Atwal","2020-10-27 17:27:31.484006",Andrew,0.0,"Brian Stuard",2020,1,-1.0e-09
